"symptom","keywords","description_1","medicine_1","doctor_consult_1","food_suggestions_1","lifestyle_suggestions_1","description_2","medicine_2","doctor_consult_2","food_suggestions_2","lifestyle_suggestions_2","description_3","medicine_3","doctor_consult_3","food_suggestions_3","lifestyle_suggestions_3"
"Trigger Finger","trigger finger;finger stuck bent;finger clicking when straightening;pain at base of finger;locking finger;thumb catch","A finger (or thumb) gets stuck in a bent position and then snaps straight with a click (like a trigger). caused by inflamed tendon.","Rest the hand. Splinting the finger straight at night can help. Gently massage the base of the finger.","Consult if finger is permanently stuck bent and you cannot straighten it at all with other hand.","HAVE: Anti-inflammatory diet (turmeric/omega-3). AVOID: repetitive gripping actions (using scissors/screwdriver) that aggravate it.","Use tools with wider grip handles to reduce strain on tendons.","Persistent clicking can be painful and make it hard to use the hand. Common in diabetics.","Steroid injection directly into the tendon sheath by orthopedist is VERY effective for most people.","See orthopedist if it doesn't improve with rest/splinting.","HAVE: Normal diet. AVOID: forcing it to snap repeatedly (damages tendon more).","Soak hand in warm water before doing gentle stretching exercises.","Severe cases that don't respond to injections need minor surgery.","Trigger finger release surgery is a quick day-care procedure with high success rate.","URGENT: None typically. Consult standard.","HAVE: Good blood sugar control (if diabetic) to prevent recurrence. AVOID: ignoring early stiffness.","Often starts as just a painless clicking before becoming painful."
"Costochondritis","costochondritis;chest wall pain;pain when pressing chest;rib pain near breastbone;sharp chest pain breathing;not heart pain","Inflammation of cartilage connecting ribs to breastbone. Causes sharp chest pain, often mistaken for heart attack, but it HURTS TO TOUCH.","Rest. NSAID painkillers (Ibuprofen/Diclofenac) are main treatment. Heating pad on chest.","Consult IMMediately if unsure if it's heart pain or rib pain. Always safer to get ECG if aged >35 or have risk factors.","HAVE: Anti-inflammatory foods. AVOID: heavy lifting;push-ups;strenuous upper body activity.","Correct posture. avoid carrying heavy bags on one shoulder.","Persistent pain can last weeks or months. It is harmless but annoying.","Physiotherapy with ultrasound or TENS can help chronic cases.","See doctor if you have fever with it, or swelling (Tietze syndrome).","HAVE: Normal diet. AVOID: anxiety - once heart is cleared, remind yourself it's just inflammation.","Gentle chest stretching exercises once acute pain subsides.","Severe cases are rare, it's usually self-limiting.","Stronger anti-inflammatories might be needed.","URGENT: RUSH TO HOSPITAL if pain radiates to arm/jaw, or you are sweating/breathless (classic heart attack signs).","HAVE: Hydration. AVOID: pressing it constantly to 'check' if it still hurts (keeps it inflamed!).","It often follows a viral cough (from strain of coughing)."
"Bacterial Vaginosis (BV)","BV;fishy smell discharge;bad smelling vaginal discharge;thin grey discharge;vaginal odor;imbalance bacteria","Not an STD, but an imbalance of natural bacteria. Main symptom is a strong 'fishy' odor and thin greyish discharge.","Doesn't always need treatment if mild, but Metronidazole (antibiotic) tablets or gel is standard cure if bothersome.","Consult if you are pregnant (BV can sometimes cause early labor);or if odor is persistent.","HAVE: Probiotics might help prevent recurrence. AVOID: Douching (washing inside vagina) - this is the #1 CAUSE of BV as it destroys good bacteria!","Use only plain water to wash external genitals. Avoid scented soaps/sprays.","Persistent BV can be annoying and embarrassing. It often comes back after periods or sex.","Doctor might prescribe longer course of probiotics or different antibiotics if it keeps recurring.","See gynecologist to confirm it's BV and not Trichomoniasis (an STD with similar symptoms).","HAVE: Yogurt with live cultures. AVOID: smoking (linked to higher risk of BV).","Wear cotton underwear. Sleep without underwear.","Severe untreated BV can increase risk of catching STDs or cause Pelvic Inflammatory Disease (rarely).","Antibiotics are needed to prevent complications, especially before any gynecological surgery.","URGENT: Consult if you have lower belly pain and fever with the discharge.","HAVE: Healthy diet. AVOID: unprotected sex with new partners (can upset bacterial balance).","Male partners usually don't need treatment."
"Rotator Cuff Injury","rotator cuff;shoulder tear;pain lifting arm side;shoulder weakness;can't comb hair;pain sleeping on shoulder;injury shoulder","Tear or strain in muscles helping lift the arm. Common in older age or after a fall. Pain often felt deep in shoulder, worse at night.","R.I.C.E initially. NSAID painkillers. Avoid overhead activities but DON'T stop moving shoulder completely (prevents frozen shoulder).","Consult if you cannot lift your arm away from your body AT ALL;or severe pain after a fall.","HAVE: Protein for muscle repair. AVOID: lifting heavy weights;sleeping on the painful side.","Use a pillow under your arm while sitting to take weight off the shoulder.","Persistent pain and weakness means a likely tear. You might use your shoulder blade to 'hike' your arm up instead of smooth movement.","Physiotherapy is CRUCIAL to strengthen remaining intact muscles to compensate.","See orthopedist for MRI if physio doesn't help in 6 weeks.","HAVE: Collagen rich foods might help. AVOID: repetitive overhead throwing actions.","Pendulum exercises (swinging arm gently) to keep joint moving.","Severe complete tears in active young people usually need surgery. Elderly might manage with just physio.","Arthroscopic rotator cuff repair surgery.","URGENT: Consult if sudden inability to move arm after injury.","HAVE: Balanced diet. AVOID: carrying heavy bags on that shoulder.","Recovery is slow, takes months of dedicated exercises."
"Tinea Versicolor","tinea versicolor;white spots chest back;fungal patches skin;discolored skin patches sweat;non-itchy white spots","Fungal infection causing small discolored (often white/pink/tan) patches, usually on chest/back. More noticeable after sun exposure as they don't tan.","Anti-fungal shampoo (Ketoconazole) used as a body wash - leave on for 5-10 mins before rinsing, daily for a week.","Consult if it covers large part of body;or doesn't improve after 2 weeks of home treatment.","HAVE: Normal diet. AVOID: excessive sweating/oily skin products (fungus loves oily, hot environments).","Wear breathable fabrics. Shower immediately after gym/sweating.","Persistent patches might remain white even after fungus is dead (takes months for color to even out).","Oral antifungal pills (Fluconazole) sometimes needed for widespread cases.","See dermatologist if you are unsure if it's this or vitiligo (Vitiligo is usually whiter and affects different areas).","HAVE: Probiotics. AVOID: heavy oil massages on chest/back if prone to this.","Wash gym clothes in hot water.","Severe cases are just cosmetically bothersome, not dangerous.","Recurrence is very common in Indian summers. Preventive use of Ketoconazole wash once a week can help.","URGENT: None. Consult standard.","HAVE: Good hygiene. AVOID: worry - it's not contagious to others.","Sun exposure makes it LOOK worse because surrounding skin gets darker, highlighting the pale infected spots."
"Fibromyalgia","fibromyalgia;widespread body pain;chronic fatigue pain;tender points body;fibro fog;unexplained muscle pain","Chronic condition causing widespread pain, fatigue, and 'tender points' all over body. Not dangerous but very draining.","Gentle aerobic exercise (walking/swimming) is THE best treatment, start very slow. Heat packs for pain.","Consult Rheumatologist for diagnosis (it's a diagnosis of exclusion - other things must be ruled out first).","HAVE: Balanced diet. AVOID: Processed foods/excess sugar (some find it worsens pain);caffeine near bedtime.","Prioritize sleep hygiene - poor sleep is a major trigger for fibro pain. Manage stress.","Persistent 'fibro fog' (difficulty concentrating/memory issues) often accompanies the pain.","Medications like Duloxetine or Pregabalin can help nerve pain and sleep. Standard painkillers (Brufen) usually DON'T help much.","See doctor for regular follow-ups and support.","HAVE: Magnesium supplements might help muscle tenderness. AVOID: staying in bed all day (inactivity makes pain WORSE long-term).","Cognitive Behavioral Therapy (CBT) helps cope with chronic pain.","Severe days ('flares') can feel like you have a bad flu permanently.","Be kind to yourself during flares, rest but don't stop moving completely.","URGENT: None typically. Consult if new different pain develops.","HAVE: Warm baths with Epsom salts. AVOID: overdoing it on 'good days' (leads to 'crash' next day).","It's a real condition, not 'just in your head', despite normal blood tests."
"Black Eye (Bruise)","black eye;kali aankh;bruised eye;punched in eye;swollen purple eyelid;injury to eye orbit","Bruising around the eye after an injury. Looks alarming (turns purple/black) but often just superficial bleeding under skin.","Ice pack immediately (gently!) for 15 mins every hour for first day to reduce swelling.","Consult IMMediately if you have double vision;can't move the eye;blood IN the colored part of eye (hyphema);or severe pain.","HAVE: Pineapple (contains bromelain, may help bruising fade faster). AVOID: Aspirin (increases bleeding/bruising).","Sleep with head elevated to let gravity drain the swelling.","Persistent bruising changes color (purple -> green -> yellow) over 2 weeks as it heals.","Warm compresses AFTER 48 hours can help clear remaining bruised blood.","See ophthalmologist if vision is even slightly blurry.","HAVE: Vitamin C for capillary health. AVOID: blowing your nose if eye injury was severe (air can get trapped under skin if bone is fractured).","Wear protective eye gear during contact sports.","Severe injury could mean a 'blowout fracture' of the eye socket bones.","Surgery might be needed if muscles are trapped in the fracture.","URGENT: RUSH TO HOSPITAL if pupil shape is irregular or one pupil is much larger than other after injury.","HAVE: Arnica gel (applied AROUND, not IN the eye) might help bruising. AVOID: pressing on the eyeball.","The bruising might spread to the other eye or down the cheek due to gravity - this is normal."
"Hyperacidity (Acute Gastritis)","gastritis;pet mein sujan;severe stomach burning;acute acidity;pain after NSAIDs;alcohol stomach pain;vomiting acid","Sudden inflammation of stomach lining. Often from too much alcohol, spicy food, or painkillers (NSAIDs). intense burning/gnawing pain.","Stop ALL alcohol/painkillers/spicy food immediately. Antacid liquid (Digene/Mucaine gel) every 4-6 hours.","Consult if you vomit blood;have severe unmanageable pain;or black stools.","HAVE: Cold milk;curd rice;bland clear soup;coconut water. AVOID: Alcohol;coffee;chillies;hot tea;citrus juice.","Hydrate with frequent small sips if vomiting. Gut rest (bland food only) for 24-48 hours.","Persistent gastritis can turn into an ulcer. You might feel full very quickly after starting to eat.","PPIs (Pantoprazole/Rabeprazole) might be prescribed for 1-2 weeks to let lining heal.","See doctor if it doesn't settle in 2-3 days.","HAVE: Aloe vera juice (some find it soothing). AVOID: smoking (increases stomach acid).","Manage stress.","Severe erosive gastritis can cause significant stomach bleeding.","Requires IV PPIs and possibly endoscopy to stop bleeding.","URGENT: RUSH TO HOSPITAL if you feel dizzy/faint upon standing (sign of internal blood loss).","HAVE: very soft diet (khichdi). AVOID: aspirin/brufen for any reason during this time.","Don't eat within 3 hours of bedtime."
"Deviated Nasal Septum (DNS)","DNS;tedhi naak ki haddi;blocked nose one side;crooked nose inside;frequent sinus infection;snoring DNS;nosebleed one side","The wall between your nostrils is crooked. Common, but if severe, it blocks one side permanently causing issues.","Saline nasal sprays can keep it moist and reduce crusting. Nasal dilator strips might help sleep.","Consult ENT if it causes chronic sinus infections;severe snoring;or difficulty breathing through nose.","HAVE: Normal diet. AVOID: picking nose (DNS often makes one side dry and prone to bleeding, picking worsens it).","Use a humidifier if you frequently get dry nose/bleeds on the wider side.","Persistent blockage might mean you are a 'mouth breather', leading to dry mouth and bad breath.","Surgery (Septoplasty) is the only way to physically straighten it.","See ENT to discuss if surgery is worth it for your symptom severity.","HAVE: Hydration. AVOID: decongestant sprays for >3 days (won't fix the bone, will cause rebound).","If you break your nose, get it set quickly to prevent severe DNS later.","Severe DNS can completely block one nostril and lead to chronic inevitable sinusitis.","Septoplasty is a common, effective planned surgery.","URGENT: None typically. Consult standard.","HAVE: Good sleep hygiene. AVOID: ignoring it if it causes sleep apnea.","Many people have mild DNS without knowing it - only treat if it causes problems."
"Chronic Fatigue Syndrome (CFS/ME)","chronic fatigue;ME;always tired;unrefreshing sleep;exhaustion after minor activity;brain fog fatigue;PEM","Extreme fatigue that doesn't go away with rest and has no other medical cause. Minor activity (mental/physical) causes a 'crash' later.","'Pacing' is CRITICAL: do less than you think you can. Stop BEFORE you feel tired. Rest proactively.","Consult to rule out ALL other treatable causes of fatigue (thyroid, anemia, diabetes, sleep apnea etc.).","HAVE: Balanced nutritious diet. Some find avoiding gluten/dairy helps (unproven but tried by many). AVOID: caffeine/sugar 'crashes' (using energy drinks to push through - it backfires badly).","Prioritize absolutely essential tasks only. Learn to say 'no'.","Persistent CFS can be debilitating, leaving people housebound. 'Brain fog' makes thinking hard.","No cure. Symptom management (for sleep/pain) helps. Cognitive Behavioral Therapy (CBT) helps cope with the limitations.","See doctor for supportive care.","HAVE: Supplements ONLY if deficiencies found. AVOID: 'Graded Exercise Therapy' (pushing harder progressively) - often makes CFS worse.","Listen to your body. If you need a nap, take it.","Severe cases might need wheelchair use for energy conservation.","Support groups can be very helpful mentally.","URGENT: Consult if new severe symptoms develop or depression becomes severe.","HAVE: Hydration with electrolytes (sometimes helps with accompanying dizzy spells). AVOID: snake oil cures.","It's a recognized biological illness, not 'laziness'."
"Ankylosing Spondylitis (AS)","AS;bamboo spine;stiff back morning young male;hip pain morning;spine fusing;inflammatory back pain","Type of arthritis affecting spine/hips. Usually starts in young men (<40). causes severe MORNING stiffness that improves with exercise.","Exercise is VITAL - stay active to prevent spine from fusing. NSAIDs (Indomethacin) are main early treatment.","Consult rheumatologist if you have back pain >3 months that is worse in morning and better with activity (opposite of mechanical back pain).","HAVE: Anti-inflammatory diet (omega-3). AVOID: smoking (accelerates spinal fusion!);high starch diet (some claim it helps to reduce, controversial).","Maintain good posture at all times. Sleep on a firm mattress with a thin pillow.","Persistent untreated AS can lead to spine vertebrae fusing together ('bamboo spine'), making it rigid.","Biologic drugs (TNF blockers) are revolutionary and can stop progression if started early.","See rheumatologist regularly for monitoring.","HAVE: Calcium/Vitamin D. AVOID: high impact sports if spine is already stiff (fracture risk).","Swimming is the BEST exercise for AS.","Severe cases can cause rigid hunched posture and difficulty looking up or turning head.","Surgery (osteotomy) rarely needed for severe deformity.","URGENT: Consult if you develop severe eye redness/pain (Uveitis is a common linked condition).","HAVE: Healthy weight. AVOID: becoming sedentary - 'rest = rust' in AS.","Genetic marker HLA-B27 is often positive."
"Acute Glaucoma (Angle Closure)","glaucoma attack;kala motiya acute;severe eye pain sudden;blurred vision rainbow halos;hard eye red;headache with eye pain","Sudden blockage of fluid drainage in eye. Causes excruciating eye pain, headache, nausea, and seeing rainbow-colored halos around lights.","MEDICAL EMERGENCY. RUSH TO EYE HOSPITAL NOW. Permanent blindness can happen in HOURS. No home treatment.","Consult IMMediately. Do not wait for morning.","HAVE: NBM (nothing by mouth) in case urgent surgery/laser needed. AVOID: waiting;using OTC eye drops (some can make it WORSE).","Try to keep head upright while traveling to hospital.","Persistent high pressure kills the optic nerve irreversibly.","Hospital will give IV meds (Mannitol) and eye drops to lower pressure instantly. Laser iridotomy done later to prevent recurrence.","See ophthalmologist.","HAVE: Normal diet later. AVOID: activities in dark rooms if prone to this (pupil dilation can trigger attack in susceptible people).","Regular eye checks >40 years old can detect risk factors early.","Severe attack = Blindness if untreated quickly.","Emergency laser or surgery.","URGENT: RUSH TO HOSPITAL if you have severe eye pain with nausea and blurred vision.","HAVE: Patience during treatment; it can be painful but saves sight. AVOID: stress.","It's different from common 'chronic' glaucoma which is painless and slow."
"Cataract","cataract;motiyabind;cloudy vision;foggy vision;glare from lights night;fading colors eye;lens opacity elderly","Natural clouding of the eye's lens with age. Vision becomes slowly foggy, like looking through a dirty window.","No medicines/drops can cure it. Surgery is the only fix. Use brighter lights for reading temporarily.","Consult ophthalmologist when vision loss starts interfering with your daily life (driving/reading/cooking).","HAVE: Antioxidant rich foods (lutein/zeaxanthin in leafy greens/eggs) might SLOW progression slightly. AVOID: smoking (accelerates cataract);excessive UV exposure without sunglasses.","Ensure prescription glasses are up to date (can help temporarily).","Persistent cataract will eventually make you functionally blind until removed. It is reversible blindness.","Cataract surgery (replacing cloudy lens with artificial one) is very safe and effective.","See eye doctor annually to monitor maturity of cataract.","HAVE: Normal diet. AVOID: rubbing eyes hard.","Surgery is usually done one eye at a time.","Severe 'mature' white cataracts can sometimes leak and cause painful secondary glaucoma if left too long.","Don't wait until it's completely white/ripe if it's bothering you earlier.","URGENT: None usually, it's slow. Consult if sudden vision change occurs (not cataract).","HAVE: Good diabetes control (high sugar accelerates cataracts). AVOID: fear of surgery - it's one of the most common surgeries worldwide.","Post-surgery vision is often excellent."
"Pilonidal Sinus","pilonidal sinus;tailbone cyst;pain above bum crack;pus near tailbone;hair cyst;jeep bottom;painful lump natal cleft","Cyst near the tailbone (top of buttocks crack), often containing ingrown hair. Common in hairy young men who sit a lot. very painful if infected.","Keep area clean and dry. Shave the area to prevent more hair entering. Warm compress if it's starting to swell.","Consult if it becomes red;hot;very painful swollen lump (abscess) - needs draining.","HAVE: Normal diet. AVOID: prolonged sitting on hard surfaces.","Use a coccyx cushion (donut cushion) to sit if painful. lose weight if obese.","Persistent sinus might keep filling with pus and draining periodically.","Antibiotics calm acute infection. Surgery is needed to remove the whole track permanently.","See surgeon. It often recurs if not removed completely.","HAVE: High protein for healing if surgery done. AVOID: ignoring it - complex branching tracts can form.","Laser hair removal in that area is HIGHLY recommended to prevent recurrence.","Severe infected abscess needs immediate incision and drainage (very painful but instant relief after draining).","Surgery can sometimes leave a wound that takes weeks to heal.","URGENT: Consult if fever develops with the buttock pain.","HAVE: Good hygiene. AVOID: embarrassment - surgeons see this everyday.","Keep the area hair-free forever ideally."
"Spider/Insect Bite (Severe reaction)","spider bite;insect bite swelling;kide ka katna;red swollen bite;painful bite mark;blister from bite;allergic reaction bite","Most Indian house spider/insect bites are harmless, causing mild red bumps. Some can cause severe local swelling/pain (e.g., some centipedes/wasps).","Wash with soap/water. Ice pack for swelling. Antihistamine for itching. Elevate the limb if swollen.","Consult if swelling spreads widely;bite area turns black (necrosis);or you feel generally unwell (fever/nausea).","HAVE: Hydration. AVOID: scratching (causes infection);traditional remedies like applying lime/metal.","Draw a circle around the redness with a pen to track if it's spreading over next few hours.","Persistent non-healing wound after a bite might need medical care.","Antibiotics if secondary infection occurs. Tetanus booster might be needed.","See doctor if you suspect a poisonous creature (rare in cities, but possible).","HAVE: Normal diet. AVOID: trying to suck out poison (doesn't work, increases infection risk).","Shake out shoes/clothes before wearing in areas with many insects.","Severe bites from venomous creatures (snakes/scorpions) are different EMERGENCY. This is for standard bug bites that got bad.","Specific anti-venom ONLY for confirmed snake/scorpion bites in hospital.","URGENT: RUSH TO HOSPITAL if bitten by snake/scorpion;or if trouble breathing after ANY bite (anaphylaxis).","HAVE: Stay calm. AVOID: tourniquets for standard insect bites (can cause more harm).","Most 'spider bites' are actually just unidentified bug bites."
"Endometriosis","endometriosis;severe period pain;painful sex;chronic pelvic pain;infertility pain;chocolate cyst;painful poop during periods","Tissue similar to womb lining grows OUTSIDE the womb. Causes EXTREME period pain, pain during sex, and sometimes infertility.","Heating pads. NSAIDs (Meftal-Spas/Ibuprofen) taken BEFORE pain gets bad. It's a chronic condition needing management.","Consult gynecologist if period pain stops you from normal life every month;or pain during sex/bowel movements.","HAVE: Anti-inflammatory diet (gluten/dairy free helps some women). AVOID: inflammatory processed foods;excess caffeine/alcohol.","Yoga and pelvic floor physiotherapy can help manage chronic pain.","Persistent untreated endo can cause internal scarring (adhesions) sticking organs together.","Hormonal treatments (Birth control pills/progesterone) are mainstays to suppress the tissue growth.","See specialist gynecologist. Laparoscopy is the only way to 100% confirm diagnosis.","HAVE: Omega-3 fatty acids. AVOID: suffering in silence because people say 'periods are supposed to hurt' - not THIS much.","Track symptoms in detail for your doctor.","Severe cases can block fallopian tubes (infertility) or invade bowel/bladder.","Surgery (Laparoscopic excision) to remove tissue might be needed, especially for fertility.","URGENT: Consult if you have sudden severe unimaginable pelvic pain (could be ruptured cyst).","HAVE: Gentle walks. AVOID: high impact exercise during painful flare-ups.","Menopause usually ends symptoms, but that's a long wait for young women."
"Menopause Symptoms","menopause;hot flashes;periods stopping;night sweats women 50s;mood swings menopause;vaginal dryness;weight gain 40s women","Natural end of periods, usually between age 45-55. Causes hot flashes, sleep issues, and mood changes due to dropping estrogen.","Lifestyle changes first. Black cohosh or soy isoflavone supplements help SOME women (ask doctor first). Calcium/Vitamin D is vital now.","Consult gynecologist if periods are very heavy before stopping (flooding);or bleeding happens AFTER menopause (post-menopausal bleeding is a red flag).","HAVE: Soy products (tofu/soya chunks - contain phytoestrogens);calcium rich foods;cool drinks. AVOID: Spicy foods;caffeine;hot drinks (triggers hot flashes).","Dress in layers so you can peel off when a flash hits. Keep room cool at night.","Persistent severe symptoms can disrupt life. Vaginal dryness can make sex painful.","Hormone Replacement Therapy (HRT) is the most effective treatment for severe symptoms (prescribed by doctor after weighing risks). Vaginal estrogen cream for dryness.","See doctor to discuss HRT if quality of life is poor.","HAVE: Flaxseeds. AVOID: alcohol (can worsen flashes and sleep).","Regular weight-bearing exercise to prevent osteoporosis which accelerates after menopause.","Severe mood disorders or severe osteoporosis might develop.","Antidepressants (SSRIs) sometimes used for severe hot flashes if HRT isn't suitable.","URGENT: Consult if you have ANY vaginal bleeding after going 12 months without a period.","HAVE: Balanced diet to manage midlife weight gain. AVOID: smoking (worsens bone loss and flashes).","It's a natural phase, not a disease, but support helps immensely."
"Diaper Rash","diaper rash;nappy rash;red bum baby;rashes on baby bottom;sore baby bum;yeast diaper rash;ammonia rash","Red, angry skin on baby's bottom from wet diapers. Very common and painful for baby.","Change diapers FREQUENTLY. Air time is best cure - let baby be without diaper for few hours daily. Apply thick Zinc Oxide cream (Rashfree/Siloderm/Sudocrem) with every change.","Consult pediatrician if rash has blisters;pus;is bright beefy red with satellite spots (likely fungal yeast infection);or baby has fever.","HAVE: Normal feeding for baby. AVOID: acidic foods if baby started solids (sometimes causes acidic poop).","Use only water and cotton wool to clean if wipes are irritating. Don't rub sore skin, pat dry gently.","Persistent rash >3 days might be a fungal infection (Candida), especially if in skin folds.","Antifungal cream (Clotrimazole) applied before the barrier zinc cream.","See doctor if it doesn't improve with antifungal in 2 days.","HAVE: Probiotics for baby if on antibiotics (causes yeast rash). AVOID: tight plastic pants over diapers.","Switch diaper brands to rule out allergy to a specific brand.","Severe eroded rash can bleed and be extremely painful.","Mild steroid cream (hydrocortisone 1%) might be prescribed briefly for severe inflammation (NOT for fungal).","URGENT: Consult if rash spreads beyond diaper area significantly or baby is inconsolable.","HAVE: Hydration. AVOID: talcum powder (can be inhaled by baby; cream is safer).","Prevention: Change poop diapers immediately."
"Teething","teething;baby teething;daant nikalna;drooling baby;cranky baby gum pain;chewing on everything;mild fever teething","Baby teeth pushing through gums (usually starts 6 months). Causes drooling, irritability, and gnawing on objects.","Give baby something cool to chew on (chilled teether toy/clean damp cold cloth). Gently rub gums with clean finger.","Consult if fever is >101°F;baby has diarrhea (NOT usually true teething signs - likely picked up a bug from chewing dirty things).","HAVE: Chilled pureed foods if started on solids (cool apple sauce). AVOID: hard biscuits that can break off and choke.","Bibs to catch drool (prevents chin rash). Extra cuddles needed!","Persistent crying might need mild pain relief, especially at night.","Paracetamol drops (Crocin drops) at correct pediatric dose for weight. rare use only.","See dentist when first tooth appears for routine checkup.","HAVE: Normal milk feeds. AVOID: teething gels with benzocaine (unsafe for babies).","Maintain hygiene of things baby chews on.","Severe symptoms like high fever, cough, or severe diarrhea are NOT teething.","Treat the actual illness (it's a myth that teething causes high fever).","URGENT: Consult if baby refuses ALL feeds due to pain.","HAVE: Hydration. AVOID: amber teething necklaces (choking/strangulation hazard).","It's a phase that passes. The first few teeth usually hurt the most."
"Erectile Dysfunction (Mild/Psychological)","ED;erectile dysfunction;impotence;kamjori men;performance anxiety;unable to get erection;soft erection","Difficulty getting or keeping an erection. Often due to stress, performance anxiety ('in one's head'), or early physical issues.","Reduce stress/performance pressure. Stop smoking and limit alcohol. Regular exercise improves blood flow.","Consult urologist/sexologist if it happens >50% of the time;or you lose morning erections (sign of physical cause).","HAVE: Heart-healthy diet (what's good for heart is good for penis). Watermelon (contains citrulline). AVOID: Heavy fatty meals before sex;excess alcohol ('whiskey dick').","Focus on intimacy without pressure of penetration ('sensate focus' exercises).","Persistent ED can be an early warning sign of heart disease or diabetes (clogged vessels show up here first).","PDE5 inhibitors (Sildenafil/Viagra, Tadalafil/Cialis) PRESCRIBED by doctor. NEVER take without advice, especially if on heart meds.","See doctor to check BP, sugar, and cholesterol.","HAVE: Nuts/seeds (zinc). AVOID: illicit drugs/steroids.","Kegel exercises for men can sometimes help.","Severe ED might not respond to pills.","Injections or penile implants are later options for organic causes.","URGENT: RUSH TO HOSPITAL if an erection lasts >4 hours (Priapism) - THIS IS AN EMERGENCY.","HAVE: Balanced diet. AVOID: buying unregistered 'herbal viagra' from roadside (dangerous adulterants).","Psychotherapy is very effective if the cause is mainly anxiety."
"Minor Burn (Thermal/Kitchen)","burn;jal gaya;kitchen burn;hot water scald;red skin burn;blister from touching hot pan;first degree burn","Minor superficial burn from hot object/liquid. Skin is red, painful, but intact (no big blisters initially).","IMMEDIATELY run COOL (not ice cold) tap water over it for 20 MINUTES. This is the most important step to stop deep damage. Apply Silver Sulfadiazine (Burnol/Silvadene) cream after cooling.","Consult if burn is on face/hands/genitals;larger than your palm;or causes deep white/charred skin (3rd degree).","HAVE: High protein for healing. AVOID: Applying toothpaste/ghee/ink/butter immediately (traps heat and causes infection).","Keep it clean. Don't break small blisters if they form.","Persistent pain or infection signs (increasing redness/pus) need attention.","Antibiotic ointment if raw area is exposed. Painkillers (Ibuprofen).","See doctor if you haven't had a Tetanus shot in 5 years.","HAVE: Vitamin C. AVOID: exposing healing burn to sun (will leave dark mark).","Cover loosely with non-stick sterile gauze if needed.","Severe deep burns (3rd degree) might not hurt because nerves are dead. They look white/leathery.","EMERGENCY. Needs specialist burn unit care, skin grafting.","URGENT: RUSH TO HOSPITAL for any electrical burn, chemical burn, or large thermal burn.","HAVE: Hydration. AVOID: using cotton wool directly on raw burn (sticks painfully).","Once healed, massage with moisturizer to prevent stiff scarring."
"Jaw Pain (TMJ Disorder)","jaw pain;TMJ;jabde mein dard;clicking jaw;jaw locking;pain chewing;grinding teeth at night;ear pain from jaw","Pain in the jaw joint (in front of ears). Often from teeth grinding (bruxism) due to stress, or arthritis.","Soft diet. Warm/cold packs on jaw. GENTLE jaw stretches. Stop chewing gum! Avoid opening mouth super wide (yawning).","Consult dentist if jaw locks open or closed;or pain is severe and persistent.","HAVE: Soft foods (soup/yogurt/dals). AVOID: Hard/chewy foods (nuts/tough meat/caramel).","Manage stress to stop clenching. Sleep on your back if possible to reduce jaw pressure.","Persistent TMJ can cause chronic headaches and earaches.","Dentist might make a 'Night Guard' (splint) to wear while sleeping to stop grinding.","See maxillofacial specialist if standard care fails.","HAVE: Anti-inflammatory foods. AVOID: clenching teeth during day (keep lips together, teeth apart).","Massage jaw muscles gently.","Severe cases might involve arthritis of the jaw joint.","Steroid injections into the joint or rarely surgery.","URGENT: Consult if you cannot open your mouth at all (Trismus) - could be infection.","HAVE: Smoothies. AVOID: resting chin on hand for long periods.","Good posture helps - forward head posture strains jaw muscles too."
"Hiccups (Persistent)","hiccups;hichki;nonstop hiccups;diaphragm spasm;cant stop hiccuping;annoying hiccups","Spasm of the diaphragm muscle. Usually lasts minutes, caused by eating too fast, carbonated drinks, or excitement.","Hold breath for 10-20 seconds. Drink a glass of cold water quickly. Breathe into a paper bag (increases CO2). Swallow a teaspoon of sugar.","Consult if hiccups last >48 HOURS (persistent hiccups need investigation);or interfere severely with eating/sleep.","HAVE: Plain water. AVOID: Carbonated sodas;spicy food;alcohol;very hot/cold food combinations.","Eat slowly. Don't overeat.","Persistent hiccups (>2 days) can be a sign of underlying issues like reflux, nerve irritation, or even kidney/liver problems.","Doctor might prescribe muscle relaxants (Baclofen) or other specific meds (Chlorpromazine) to stop the spasm.","See doctor to rule out serious causes if they just won't stop.","HAVE: Bland diet. AVOID: smoking.","Sometimes gently rubbing the back of the roof of your mouth helps.","Severe intractable hiccups can last months (very rare) and cause malnutrition/exhaustion.","Requires specialist neurological management.","URGENT: Consult if accompanied by severe abdominal pain or neurological symptoms.","HAVE: Small frequent meals. AVOID: becoming distressed, anxiety can worsen them.","Most cases stop on their own, even if annoying for an hour."
